text@ns1989m	@ns1989m	217.72	220.62	Сейчас я с ней / ну / мне с ней комфортно общаться //
text@ns1989m	@ns1989m	231.125	231.545	Щас ка... //
text@ns1989m	@ns1989m	234.595	238.94	Ну вот да / это это был / это был типаж вне моего диапазона / то есть / ну /
text@ns1989m	@ns1989m	238.96	242.66	Я я ещё не умел общаться с / с такими людьми как она //
text@ns1989m	@ns1989m	243.485	249.99	И / может быть что-то отзывалось может быть где-то / она позволяла себе что-то что я себе не мог позволить / это внутри меня раздражало //
text@ns1989m	@ns1989m	249.992	252.45	Я смотрел как ты ззз можешь ну //
text@ns1989m	@ns1989m	253.166	254.476	А потом я ну как-то //
text@ns1989m	@ns1989m	255.09	256.77	Посмотрел на неё с другого ракурса //
text@ns1989m	@ns1989m	257.62	258.33	И //
text@ns1989m	@ns1989m	259.17	261.24	Понял что вот с этого ракурса / отлично всё //
text@ns1989m	@ns1989m	261.285	263.005	Можно можно работать можно общаться //
text@ns1989m	@ns1989m	270.475	272.89	И я учился / и / я подсказывал какие-то вещи //
text@ns1989m	@ns1989m	276.065	277.285	Чему я у неё научился?// 
text@ns1989m	@ns1989m	278.91	279.57	Слушайте ну //
text@ns1989m	@ns1989m	279.78	281.3	Мой урок прошёл внутри меня //
text@ns1989m	@ns1989m	281.33	284.01	Я вот вам говорил / что я научился / аа //
text@ns1989m	@ns1989m	284.24	287.67	Я научился / менять / свой угол взгляда //
text@ns1989m	@ns1989m	288.47	290.47	И это это очень крутой очень важный навык //
text@ns1989m	@ns1989m	290.98	294.43	Я научился / смотреть за / ээ //
text@ns1989m	@ns1989m	294.76	296.54	Знаете за / за какой-то //
text@ns1989m	@ns1989m	297.42	302.66	Ээ / каменной стеной / научился за неё проглядывать и видеть там / ну / другого человека //
text@ns1989m	@ns1989m	302.69	310.43	То есть я / научился обходить ту защиту ту маску которая может быть / нелицеприятной но / за которой прячется / человек //
text@ns1989m	@ns1989m	310.53	311.86	И это очень крутой навык //
text@ns1989m	@ns1989m	312.42	314.04	И я за это ей очень-очень благодарен //
text@a0000f	@a0000f	0.0	1.99	Добрый день читатели сайта КП в Украине//
text@a0000f	@a0000f	1.99	8.0	Сегодня мы рады приветствовать в нашем пресс-центре ведущего проекта Орёл и решка морской сезон на телеканале Интер Колю Сергу//
text@a0000f	@a0000f	8.885	9.59	Здравствуйте Николай//
text@a0000f	@a0000f	9.9	11.42	Очень очень рады вас видеть//
text@a0000f	@a0000f	13.77	17.165	Собственно о первом вопросе / было несколько вопросов подобного характера /
text@a0000f	@a0000f	17.165	18.375	От Вадима озвучу //
text@a0000f	@a0000f	19.23	28.016	эээ на / встрече в / со зрителями в Высшей школе экономики летом / ты на вопрос вернёшься ли в Орёл и решка ответил однозначно нет //
text@a0000f	@a0000f	28.08	30.99	Что это пройденный этап в жизни и надо идти дальше //
text@a0000f	@a0000f	31.52	32.6	Ну / вопрос такой //
text@a0000f	@a0000f	32.605	36.27	Участвовать в морском сезоне было твоей инициативой / или создателя программы //
text@a0000f	@a0000f	74.93	75.68	А по... //
text@a0000f	@a0000f	76.12	79.97	А почему / там что не так / не не нравилось не устраивало / надоело ? //
text@a0000f	@a0000f	80.73	81.73	#нрзб# //
text@a0000f	@a0000f	86.66	87.51	Или кто-то не нравился //
text@a0000f	@a0000f	113.46	118.46	Ммм / и зрители кстати замечали? / я читала вот ааа / Орёл и решка / да / Фейсбук //
text@a0000f	@a0000f	118.5	122.49	Многие говорили / что вот Коля / стал круче / вырос / прям все вам //
text@a0000f	@a0000f	122.51	123.625	Ну я думаю вы сами #нрзб# всё это видели //
text@a0000f	@a0000f	124.5	125.85	Вот много много было комплиментов //
text@a0000f	@a0000f	153.258	153.651	Угу //
text@a0000f	@a0000f	179.76	183.36	Вы тоже проходили кастинг как и все участники #одновременно#? //
text@a0000f	@a0000f	188.795	191.96	Ээ аа раскажите нам как вы сработались с новой ведущей?  //
text@a0000f	@a0000f	192.57	193.64	Тоже очень много вопросов было //
text@a0000f	@a0000f	221.34	228.53	ну а что вас напрягало в ней? ну / не то чтоб напрягало / а может быть / вот / настораживало вы ведь поменяли к таким людям / подобным отношение //
text@a0000f	@a0000f	229.1	231.36	То есть казалось что она как-то как как как? //
text@a0000f	@a0000f	231.93	236.76	Совсем ннн не ваш типаж какой-то да вообще? / не такой человек с которым по жизни //
text@a0000f	@a0000f	267.635	271.1	Или может вы сами у неё учились? Потому что #нрзб# //
text@a0000f	@a0000f	274.08	276.07	А чё вы у неё делали / аа / учились? #нрзб# //
text@a0000f	@a0000f	289.285	289.815	Очень важно //
text@b0000f	@b0000f	125.5	129.81	Ну / а инициатива прийти на / новый сезон ваша была или всё же? //
text@b0000f	@b0000f	153.325	153.704	Угу //
text@b0000f	@b0000f	221.34	222.86	А что вас? //
text@b0000f	@b0000f	264.7	266.1	А чему-то учили / Машу? 
text@b0000f	@b0000f	266.855	268.315	Она спрашивала вас каких-то советов? //
words@ns1989m	@ns1989m	8.68	8.817	Привет
words@ns1989m	@ns1989m	8.817	8.954	всем
words@ns1989m	@ns1989m	8.954	9.091	/
words@ns1989m	@ns1989m	9.091	9.23	/
words@ns1989m	@ns1989m	11.65	11.942	Спасибо
words@ns1989m	@ns1989m	11.942	12.234	большое
words@ns1989m	@ns1989m	12.234	12.526	это
words@ns1989m	@ns1989m	12.526	12.82	взаимно
words@ns1989m	@ns1989m	36.642	36.868	Вы
words@ns1989m	@ns1989m	36.868	37.094	знаете
words@ns1989m	@ns1989m	37.094	37.32	/
words@ns1989m	@ns1989m	37.32	37.546	я
words@ns1989m	@ns1989m	37.546	37.772	хотел
words@ns1989m	@ns1989m	37.772	37.998	ответить
words@ns1989m	@ns1989m	37.998	38.224	метафорой
words@ns1989m	@ns1989m	38.224	38.45	/
words@ns1989m	@ns1989m	38.45	38.676	а
words@ns1989m	@ns1989m	38.676	38.902	потом
words@ns1989m	@ns1989m	38.902	39.128	понял
words@ns1989m	@ns1989m	39.128	39.354	что
words@ns1989m	@ns1989m	39.354	39.58	/
words@ns1989m	@ns1989m	39.58	39.806	эээ
words@ns1989m	@ns1989m	39.806	40.032	на
words@ns1989m	@ns1989m	40.032	40.258	самом
words@ns1989m	@ns1989m	40.258	40.484	деле
words@ns1989m	@ns1989m	40.484	40.71	эта
words@ns1989m	@ns1989m	40.71	40.936	метафора
words@ns1989m	@ns1989m	40.936	41.162	очень
words@ns1989m	@ns1989m	41.162	41.388	подходит
words@ns1989m	@ns1989m	41.388	41.614	вообще
words@ns1989m	@ns1989m	41.614	41.84	в
words@ns1989m	@ns1989m	41.84	42.066	концепцию
words@ns1989m	@ns1989m	42.066	42.292	морского
words@ns1989m	@ns1989m	42.292	42.518	сезона
words@ns1989m	@ns1989m	42.518	42.744	/
words@ns1989m	@ns1989m	42.744	42.996	/
words@ns1989m	@ns1989m	42.996	43.142	Что
words@ns1989m	@ns1989m	43.142	43.288	/
words@ns1989m	@ns1989m	43.288	43.434	дважды
words@ns1989m	@ns1989m	43.434	43.58	в
words@ns1989m	@ns1989m	43.58	43.726	одну
words@ns1989m	@ns1989m	43.726	43.872	реку
words@ns1989m	@ns1989m	43.872	44.018	как
words@ns1989m	@ns1989m	44.018	44.164	грится
words@ns1989m	@ns1989m	44.164	44.31	не
words@ns1989m	@ns1989m	44.31	44.456	войдёшь
words@ns1989m	@ns1989m	44.456	44.602	/
words@ns1989m	@ns1989m	44.602	44.75	/
words@ns1989m	@ns1989m	44.94	45.077	Но
words@ns1989m	@ns1989m	45.077	45.214	река
words@ns1989m	@ns1989m	45.214	45.351	/
words@ns1989m	@ns1989m	45.351	45.491	/
words@ns1989m	@ns1989m	45.498	45.638	Вот
words@ns1989m	@ns1989m	45.638	45.778	почему
words@ns1989m	@ns1989m	45.778	45.918	за
words@ns1989m	@ns1989m	45.918	46.058	счёт
words@ns1989m	@ns1989m	46.058	46.198	чего
words@ns1989m	@ns1989m	46.198	46.338	мы
words@ns1989m	@ns1989m	46.338	46.478	не
words@ns1989m	@ns1989m	46.478	46.618	войдём
words@ns1989m	@ns1989m	46.618	46.758	дважды
words@ns1989m	@ns1989m	46.758	46.898	в
words@ns1989m	@ns1989m	46.898	47.038	одну
words@ns1989m	@ns1989m	47.038	47.178	реку
words@ns1989m	@ns1989m	47.178	47.318	/
words@ns1989m	@ns1989m	47.318	47.47	/
words@ns1989m	@ns1989m	47.63	47.808	Потому
words@ns1989m	@ns1989m	47.808	47.986	что
words@ns1989m	@ns1989m	47.986	48.164	/
words@ns1989m	@ns1989m	48.164	48.342	ааа
words@ns1989m	@ns1989m	48.342	48.52	/
words@ns1989m	@ns1989m	48.52	48.698	в
words@ns1989m	@ns1989m	48.698	48.876	воде
words@ns1989m	@ns1989m	48.876	49.054	река
words@ns1989m	@ns1989m	49.054	49.232	не
words@ns1989m	@ns1989m	49.232	49.41	бывает
words@ns1989m	@ns1989m	49.41	49.588	стоячая
words@ns1989m	@ns1989m	49.588	49.766	/
words@ns1989m	@ns1989m	49.766	49.95	/
words@ns1989m	@ns1989m	49.974	50.197	Она
words@ns1989m	@ns1989m	50.197	50.42	всегда
words@ns1989m	@ns1989m	50.42	50.643	двигается
words@ns1989m	@ns1989m	50.643	50.866	/
words@ns1989m	@ns1989m	50.866	51.09	/
words@ns1989m	@ns1989m	51.19	51.53	Поэтому
words@ns1989m	@ns1989m	51.53	51.87	/
words@ns1989m	@ns1989m	51.87	52.21	ааам
words@ns1989m	@ns1989m	52.21	52.55	/
words@ns1989m	@ns1989m	52.55	52.894	/
words@ns1989m	@ns1989m	53.71	53.917	Может
words@ns1989m	@ns1989m	53.917	54.124	быть
words@ns1989m	@ns1989m	54.124	54.331	в
words@ns1989m	@ns1989m	54.331	54.538	тот
words@ns1989m	@ns1989m	54.538	54.745	/
words@ns1989m	@ns1989m	54.745	54.952	тот
words@ns1989m	@ns1989m	54.952	55.159	я
words@ns1989m	@ns1989m	55.159	55.366	которым
words@ns1989m	@ns1989m	55.366	55.573	я
words@ns1989m	@ns1989m	55.573	55.78	даже
words@ns1989m	@ns1989m	55.78	55.987	был
words@ns1989m	@ns1989m	55.987	56.194	летом
words@ns1989m	@ns1989m	56.194	56.401	/
words@ns1989m	@ns1989m	56.401	56.608	ааа
words@ns1989m	@ns1989m	56.608	56.815	/
words@ns1989m	@ns1989m	56.815	57.03	/
words@ns1989m	@ns1989m	57.664	57.842	В
words@ns1989m	@ns1989m	57.842	58.02	тот
words@ns1989m	@ns1989m	58.02	58.198	Орёл
words@ns1989m	@ns1989m	58.198	58.376	и
words@ns1989m	@ns1989m	58.376	58.554	решка
words@ns1989m	@ns1989m	58.554	58.732	который
words@ns1989m	@ns1989m	58.732	58.91	был
words@ns1989m	@ns1989m	58.91	59.088	/
words@ns1989m	@ns1989m	59.088	59.274	/
words@ns1989m	@ns1989m	59.67	59.773	Эээ
words@ns1989m	@ns1989m	59.773	59.876	/
words@ns1989m	@ns1989m	59.876	59.98	/
words@ns1989m	@ns1989m	60.05	60.187	У
words@ns1989m	@ns1989m	60.187	60.324	меня
words@ns1989m	@ns1989m	60.324	60.461	в
words@ns1989m	@ns1989m	60.461	60.598	прошлом
words@ns1989m	@ns1989m	60.598	60.735	/
words@ns1989m	@ns1989m	60.735	60.872	я
words@ns1989m	@ns1989m	60.872	61.009	бы
words@ns1989m	@ns1989m	61.009	61.146	не
words@ns1989m	@ns1989m	61.146	61.283	вошёл
words@ns1989m	@ns1989m	61.283	61.42	/
words@ns1989m	@ns1989m	61.42	61.56	/
words@ns1989m	@ns1989m	61.82	62.035	И
words@ns1989m	@ns1989m	62.035	62.577	категорично
words@ns1989m	@ns1989m	62.577	62.727	сказал
words@ns1989m	@ns1989m	62.727	62.877	бы
words@ns1989m	@ns1989m	62.877	63.027	нет
words@ns1989m	@ns1989m	63.027	63.177	/
words@ns1989m	@ns1989m	63.177	63.33	/
words@ns1989m	@ns1989m	63.37	63.49	Но
words@ns1989m	@ns1989m	63.49	63.61	/
words@ns1989m	@ns1989m	63.61	63.73	/
